"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
3.471,0.594,94.841,0.969,0.0,0.125,11275853824.0,408686592.0,11981975552.0,43846086656.0,26891.0,15132.0,0.0,1130496.0,1438059125.451,0.0,85.0
0.564,0.157,98.966,0.313,0.0,0.0,11275177984.0,408686592.0,11981991936.0,43846746112.0,134.0,438.0,0.0,5058560.0,1438059126.451,0.0,79.0
0.439,0.094,99.123,0.345,0.0,0.0,11275116544.0,408686592.0,11981991936.0,43846807552.0,134.0,438.0,0.0,2445312.0,1438059127.451,0.0,74.0
0.470,0.094,99.185,0.251,0.0,0.0,11274326016.0,408686592.0,11981996032.0,43847593984.0,134.0,438.0,0.0,405504.0,1438059128.451,0.0,10.0
0.878,0.314,98.683,0.125,0.0,0.0,11275415552.0,408686592.0,11981996032.0,43846504448.0,1992.0,828.0,0.0,122880.0,1438059129.451,0.0,10.0
0.438,0.251,99.248,0.063,0.0,0.0,11275202560.0,408686592.0,11981996032.0,43846717440.0,134.0,438.0,0.0,118784.0,1438059130.451,0.0,10.0
0.501,0.125,99.061,0.282,0.0,0.031,11274579968.0,408686592.0,11982000128.0,43847335936.0,2523.0,2153.0,0.0,77824.0,1438059131.451,0.0,9.0
0.814,0.313,98.841,0.031,0.0,0.0,11278135296.0,408686592.0,11982000128.0,43843780608.0,134.0,438.0,0.0,81920.0,1438059132.451,0.0,9.0
0.470,0.094,99.311,0.125,0.0,0.0,11277127680.0,408686592.0,11982000128.0,43844788224.0,433.0,438.0,0.0,217088.0,1438059133.451,0.0,15.0
0.563,0.156,98.967,0.313,0.0,0.0,11275923456.0,408686592.0,11982004224.0,43845988352.0,740.0,438.0,0.0,110592.0,1438059134.451,0.0,10.0
0.313,0.157,99.467,0.063,0.0,0.0,11275350016.0,408686592.0,11982004224.0,43846561792.0,3513.0,2212.0,0.0,114688.0,1438059135.451,0.0,10.0
0.376,0.094,99.467,0.063,0.0,0.0,11274584064.0,408686592.0,11982004224.0,43847327744.0,134.0,438.0,0.0,110592.0,1438059136.451,0.0,10.0
